Norma,Escala Normativa,Ambito Territorial,CCAA,Provincia,Ciudad,URL,Codigo del Documento,Sostenibilidad Económica,Sostenibilidad Ambiental,Cambio Climático,Sostenibilidad Social,Gobernanza Urbana,Comentario,Etiquetador,Fecha Etiquetado,Validador,Fecha Validado,Sostenibilidad Económica.1,Sostenibilidad Ambiental.1,Cambio Climático.1,Sostenibilidad Social.1,Gobernanza Urbana.1,Norma_translated
Regulation (EU) 2015/1843 — International trade rules: how the EU can exercise its rights,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32015R1843,328,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Reglamento (UE) 2015/1843 — Normas de comercio internacional: forma en que la UE puede ejercer sus derechos
Regulation (EC) No 332/2002 — EU aid to non-euro area countries with trade deficit problems,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32002R0332,329,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Reglamento (CE) no 332/2002 — Ayuda de la UE a países no pertenecientes a la zona del euro con problemas de déficit comercial
Regulation (EU) No 528/2012 concerning the making available on the market and use of biocidal products,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32012R0528,330,E00000000000000,A001000000000000000000000000000000000000000,C00001000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,CLI_010400,,,Reglamento (UE) no 528/2012 relativo a la comercialización y el uso de biocidas
Regulation (EEC) No 315/93 — EU procedures for contaminants in food,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31993R0315,331,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000001000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,SOC_050200,,Reglamento (CEE) no 315/93 — Procedimientos de la UE para los contaminantes en los alimentos
Directive 96/22/EC — the prohibition on the use in stockfarming of certain substances having a hormonal or thyrostatic action and of ß-agonists,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31996L0022,332,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000001000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,SOC_050200,,Directiva 96/22/CE: prohibición del uso en la cría de ganado de determinadas sustancias de efecto hormonal o tirostático y de ß-agonistas
Council Decision 1999/879/EC — the placing on the market and administration of bovine somatotrophin (BST),Decisión,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31999D0879,333,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000001000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,SOC_050200,,Decisión 1999/879/CE del Consejo: comercialización y administración de la somatotropina bovina (BST)
Recommendation 2002/77/EC on the use of antimicrobials in medicine,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32002H0077,334,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000001000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_050200,,Recomendación 2002/77/CE sobre el uso de antimicrobianos en la medicina
Regulation (EC) No 853/2004 laying down specific hygiene rules for food of animal origin,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32004R0853R%2801%29,335,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000001000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,SOC_050200,,Reglamento (CE) no 853/2004 por el que se establecen normas específicas de higiene de los alimentos de origen animal
Regulation (EU) 2017/625 — official controls along the agri-food chain,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32017R0625,336,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,,,Reglamento (UE) 2017/625 — Controles oficiales a lo largo de la cadena agroalimentaria
Directive 2002/55/EC on the marketing of vegetable seed,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32002L0055,337,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,,,Directiva 2002/55/CE relativa a la comercialización de semillas de hortalizas
Directive 89/108/EEC on quick-frozen foodstuffs for human consumption,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31989L0108,338,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,,,Directiva 89/108/CEE relativa a los productos alimenticios ultracongelados destinados al consumo humano
Directive 2001/112/EC relating to fruit juices and certain similar products intended for human consumption,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32001L0112,339,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,,,Directiva 2001/112/CE relativa a los zumos de frutas y determinados productos similares destinados al consumo humano
Coffee and chicory extracts,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31999L0004,340,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,,,Café y extractos de achicoria
Directive 2008/90/EC — marketing of fruit plant propagating material and fruit plants intended for fruit production,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32008L0090,341,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,,,Directiva 2008/90/CE: comercialización de materiales de multiplicación de frutales y plantones de frutal destinados a la producción frutícola
Delegated Regulation (EU) 2016/128 supplementing Regulation (EU) No 609/2013 — the specific compositional and information requirements for food for special medical purposes,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32016R0128,342,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000001000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,SOC_050200,,Reglamento Delegado (UE) 2016/128 que complementa el Reglamento (UE) n.o 609/2013 — Requisitos específicos de composición e información para los alimentos con fines médicos especiales
"Regulation (EU) No 609/2013 on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control",REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32013R0609,343,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000001000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,SOC_050200,,"Reglamento (UE) n.o 609/2013 sobre los alimentos destinados a lactantes y niños de corta edad, los alimentos para usos médicos especiales y la sustitución de la dieta total para el control del peso"
Regulation (EU) 2016/2031 on protective measures against pests of plants,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32016R2031,344,E00000000000000,A011100000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010100; AMB_010200; AMB_010300,,,,Reglamento (UE) 2016/2031 sobre medidas de protección contra las plagas vegetales
Directive 93/51/EEC — movements of certain plant and plant-related materials through a protected zone and movements of such materials originating in and moving within such a protected zone,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31993L0051,345,E00000000000000,A010000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010100,,,,Directiva 93/51/CEE: movimientos de determinadas plantas y materiales relacionados con las plantas a través de una zona protegida y movimientos de dichas materias originarias de dicha zona protegida y que se desplazan dentro de ella
Regulation (EC) No 2160/2003 on protecting human health against salmonella and other specified food-borne zoonotic agents,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32003R2160,346,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000001000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_050200,,Reglamento (CE) no 2160/2003 sobre la protección de la salud humana contra la salmonela y otros agentes zoonóticos específicos transmitidos por los alimentos
"Regulation (EC) No 999/2001 laying down rules for the prevention, control and eradication of certain transmissible spongiform encephalopathies",REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32001R0999,347,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000001000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_050200,,"Reglamento (CE) no 999/2001 por el que se establecen disposiciones para la prevención, el control y la erradicación de determinadas encefalopatías espongiformes transmisibles"
Regulation (EU) 2021/785 establishing the Union anti-fraud programme,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32021R0785,348,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,"Reglamento (UE) 2021/785, por el que se establece el programa de lucha contra el fraude de la Unión"
Directive (EU) 2020/1151 amending Directive 92/83/EEC,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32020L1151,349,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Directiva (UE) 2020/1151 por la que se modifica la Directiva 92/83/CEE
Council Directive 2011/64/EU — structure and rates of excise duty applied to manufactured tobacco,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32011L0064,350,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Directiva 2011/64/UE del Consejo — Estructura y tipos del impuesto especial aplicado al tabaco manufacturado
Directive 2007/74/EC — exemption from value added tax and excise duty of goods imported by persons travelling from non-EU countries,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32007L0074,351,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Directiva 2007/74/CE — Exención del impuesto sobre el valor añadido y de los impuestos especiales de las mercancías importadas por personas que viajen desde países no pertenecientes a la UE
Directive 2009/132/EC determining the scope of the Directive 2006/112/EC as regards exemption from value added tax on the final import of certain goods,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32009L0132,352,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Directiva 2009/132/CE por la que se determina el ámbito de aplicación de la Directiva 2006/112/CE en lo que respecta a la exención del impuesto sobre el valor añadido en la importación final de determinados bienes
Directive 95/60/EC – fiscal marking of gas oils and kerosene,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31995L0060,353,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Directiva 95/60/CE – marcado fiscal de los gasóleos y el queroseno
Directive 2008/118/EC — general arrangements for excise duty,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32008L0118,354,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Directiva 2008/118/CE — Régimen general de los impuestos especiales
Directive 83/182/EEC on tax exemptions within the EU for certain means of transport temporarily imported into one EU country from another,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31983L0182,355,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Directiva 83/182/CEE relativa a las exenciones fiscales dentro de la UE para determinados medios de transporte importados temporalmente en un país de la UE de otro
Communication (COM(2009) 82 final) — Community approach on the prevention of natural and man made disasters,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52009DC0082,356,E00000000000000,A000000000000000000000000000000000000000010,C00000000000000000000000000110000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_040000,CLI_041200; CLI_041300,,,Comunicación [COM(2009) 82 final] — Enfoque comunitario sobre la prevención de las catástrofes naturales y humanas
European Commission Communication (COM(2010) 126 final) — Humanitarian food assistance,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52010DC0126,357,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000001000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,CLI_041100,,,Comunicación de la Comisión Europea (COM(2010) 126 final) — Ayuda alimentaria humanitaria
EU guidelines for the promotion and protection of the rights of the child (2017),DOC_UE,COM,,,,https://eeas.europa.eu/sites/default/files/eu_guidelines_rights_of_child_0.pdf,358,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S01000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_020000,,Directrices de la UE para la promoción y protección de los derechos del niño (2017)
Communication (COM(2008) 55 final) — A special place for children in EU external action,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52008DC0055,359,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S01000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_020000,,Comunicación (COM(2008) 55 final) — Un lugar especial para los niños en la acción exterior de la UE
EU guidelines on children and armed conflict,DOC_UE,COM,,,,https://europa.eu/capacity4dev/sites/default/files/learning/Child-rights/docs/eu_guidelines_on_children_and_armed_conflict.pdf,360,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S01000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_020000,,Directrices de la UE sobre los niños y los conflictos armados
Regulation (EU) 2021/836 amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32021R0836,361,E00000000000000,A000000000000000000000000000000000000000010,C00000000000000000000000000000000000000000101000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_040000,CLI_060100; CLI_060300,,,Reglamento (UE) 2021/836 por el que se modifica la Decisión no 1313/2013/UE relativa a un mecanismo de protección civil de la Unión
"Regulation (EU) 2021/692 establishing the citizens, equality, rights and values programme",REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32021R0692,362,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000010000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_040000,,"Reglamento (UE) 2021/692 por el que se establece el programa de ciudadanos, igualdad, derechos y valores"
Regulation (EC) No 168/2007 establishing a European Union Agency for Fundamental Rights,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32007R0168,363,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000010000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_040000,,Reglamento (CE) no 168/2007 por el que se crea la Agencia de los Derechos Fundamentales de la Unión Europea
Regulation (EC) No 1922/2006 on establishing a European Institute for Gender Equality,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32006R1922,364,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000010000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_040000,,Reglamento (CE) no 1922/2006 por el que se crea un Instituto Europeo de la Igualdad de Género
Communication (COM(2008) 420) — Non-discrimination and equal opportunities: A renewed commitment,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52008DC0420,365,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000010000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_040000,,Comunicación (COM(2008) 420) — No discriminación e igualdad de oportunidades: un compromiso renovado
Directive 2011/98/EU of the European Parliament and of the Council of 13 December 2011 on a single application procedure for a single permit for third-country nationals to reside and work in the territory of a Member State and on a common set of rights for third-country workers legally residing in a Member State,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32011L0098,366,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000010000000000000000000001000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_040000; SOC_060300,,"Directiva 2011/98/UE del Parlamento Europeo y del Consejo, de 13 de diciembre de 2011, relativa a un procedimiento único de solicitud de un permiso único para que los nacionales de terceros países residan y trabajen en el territorio de un Estado miembro y a un conjunto común de derechos para los trabajadores de terceros países que residan legalmente en un Estado miembro"
Directive 2008/115/EC – common standards and procedures for returning illegally staying non-EU nationals,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32008L0115,367,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000010000000000000000000000100000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_040000; SOC_060301,,Directiva 2008/115/CE – Normas y procedimientos comunes para el retorno de los nacionales de terceros países en situación irregular
Council Framework Decision 2008/913/JHA of 28 November 2008 on combating certain forms and expressions of racism and xenophobia by means of criminal law,Decisión,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32008F0913,368,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000010000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_040000,,"Decisión marco 2008/913/JAI del Consejo, de 28 de noviembre de 2008, relativa a la lucha contra determinadas formas y expresiones de racismo y xenofobia mediante el Derecho penal"
"Regulation (EU) No 516/2014 on establishing the Asylum, Migration and Integration Fund",REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32014R0516,369,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000001111000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_060300; SOC_060301; SOC_060302; SOC_060303,,"Reglamento (UE) no 516/2014 sobre la creación del Fondo de Asilo, Migración e Integración"
Decision No 554/2014/EU on the participation of the EU in the active and assisted living research and development programme jointly undertaken by several EU countries,Decisión,COM,,,,https://eur-lex.europa.eu/eli/dec/2014/554(2)/oj,370,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000001000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_060300,,Decisión no 554/2014/UE sobre la participación de la UE en el programa de investigación y desarrollo en vida activa y asistida emprendido conjuntamente por varios países de la UE
Revised Framework Agreement between European social partners on parental leave – Council Directive 2010/18/EU,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32010L0018,371,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000010000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_040000,,Acuerdo marco revisado entre los interlocutores sociales europeos sobre el permiso parental - Directiva 2010/18/UE del Consejo
Council recommendation — integration of the long-term unemployed into the EU’s labour market,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32016H0220%2801%29,372,E00000010000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_060000,,,,,Recomendación del Consejo — Integración de los desempleados de larga duración en el mercado de trabajo de la UE
"Directive (EU) 2019/2161 amending Directive 93/13/EEC and Directives 98/6/EC, 2005/29/EC and 2011/83/EU as regards the better enforcement and modernisation of EU consumer protection rules",DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32019L2161,373,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,"Directiva (UE) 2019/2161 por la que se modifican la Directiva 93/13/CEE y las Directivas 98/6/CE, 2005/29/CE y 2011/83/UE en lo que respecta a una mejor aplicación y modernización de las normas de protección de los consumidores de la UE"
Directive 94/33/EC – protection of young people at work,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31994L0033,374,E00000010000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S01000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_060000,,,SOC_020000,,Directiva 94/33/CE – Protección de los jóvenes en el trabajo
Interinstitutional Agreement on a mandatory transparency register,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32021Q0611%2801%29,375,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Acuerdo interinstitucional sobre un registro obligatorio de transparencia
Regulation (EC) No 2679/98 on the functioning of the free movement of goods among EU countries,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31998R2679,376,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Reglamento (CE) no 2679/98 sobre el funcionamiento de la libre circulación de mercancías entre los países de la UE
Regulation (EU) 2019/515 on the mutual recognition of goods lawfully marketed in another EU country,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32019R0515,377,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Reglamento (UE) 2019/515 sobre el reconocimiento mutuo de mercancías comercializadas legalmente en otro país de la UE
Directive 2014/31/EU relating to non-automatic weighing instruments,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32014L0031,378,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Directiva 2014/31/UE relativa a los instrumentos de pesaje no automáticos
Communication (COM(2008) 31 final) — monitoring consumer outcomes in the single market: the consumer markets scoreboard,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52008DC0031,379,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Comunicación [COM(2008) 31 final] — Seguimiento de los resultados de los consumidores en el mercado único: el cuadro de indicadores de los mercados de consumo
COM(1999) 299 final - Mutual recognition in the single market,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A51999DC0299,380,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,COM(1999) 299 final - Reconocimiento mutuo en el mercado único
Communication (COM(2013) 636 final) — Empowering businesses and citizens in Europe’s single market,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52013DC0636,381,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Comunicación [COM(2013) 636 final] — Empoderamiento de las empresas y los ciudadanos en el mercado único europeo
Commission recommendation 2005/309/EC — transposition of internal market directives into national law,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32005H0309,382,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Recomendación 2005/309/CE de la Comisión: transposición de las directivas del mercado interior al Derecho nacional
Regulation (EU) No 1024/2012 on administrative cooperation through the Internal Market Information System,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32012R1024,383,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,,,,,Reglamento (UE) no 1024/2012 sobre cooperación administrativa a través del Sistema de Información del Mercado Interior
Directive (EU) 2018/958 — proportionality test before adoption of new regulation of professions,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32018L0958,384,E00000010000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_060000,,,,,Directiva (UE) 2018/958 — Prueba de proporcionalidad antes de la adopción de una nueva regulación de las profesiones
Sanctions & measures against employers of illegally staying non-EU nationals – Directive 2009/52/EC,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32009L0052,385,E00000010000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000001000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_060000,,,SOC_060300,,Sanciones y medidas contra los empleadores de nacionales de terceros países en situación irregular – Directiva 2009/52/CE
